;cpi;lci;exp1;exp10;energy_cpi;food_cpi;vu;shortage;productivity;fiscal
2010-01-01;217,353;111,4000000;1,97013880;2,00675990;209,326;218,990;0,18038;5;93,744;-4,986080454
2010-04-01;217,199;111,9000000;1,35321780;1,88113190;203,764;219,285;0,20028;4;94,055;-3,870866906
2010-07-01;218,275;112,3000000;0,90713698;1,58076200;209,832;220,219;0,20574;3;94,663;-3,817338102
2010-10-01;220,472;112,9000000;1,49387230;1,69451930;227,130;221,215;0,21627;4;94,963;-5,423783121
2011-01-01;223,046;113,2000000;2,10637930;2,04833500;240,079;225,213;0,23072;5;94,263;-7,322121449
2011-04-01;224,806;113,7000000;2,11770450;1,89412200;245,534;227,515;0,23682;4;94,321;-0,291646384
2011-07-01;226,597;114,2000000;1,00887600;1,55831050;248,550;230,682;0,25828;3;94,147;-4,185529953
2011-10-01;227,223;114,7000000;1,71166270;1,64221250;243,353;231,557;0,27388;6;94,6;-4,034146898
2012-01-01;228,807;115,3000000;1,36205360;1,58014750;249,742;232,591;0,30019;5;95,077;-6,81938493
2012-04-01;228,524;115,8000000;0,78930567;1,41563580;235,897;233,683;0,30367;5;95,572;0,042028866
2012-07-01;231,015;116,3000000;1,93150460;1,52924920;252,987;234,404;0,3068;6;95,291;-1,198252655
2012-10-01;231,221;116,7000000;2,10290680;1,52626190;244,708;235,677;0,31908;8;94,932;-3,415418328
2013-01-01;232,282;117,4000000;1,00494080;1,41188580;246,595;236,213;0,3324;7;95,397;-3,681429454
2013-04-01;232,445;118,0000000;1,35321030;1,55034420;242,711;236,980;0,3493;5;95,16;-0,659434101
2013-07-01;233,544;118,4000000;2,20242300;1,86880060;242,745;237,519;0,35704;4;95,837;-0,89193963
2013-10-01;234,719;119,1000000;1,92403140;1,78513890;245,733;238,182;0,3855;5;96,761;-0,874275829
2014-01-01;236,028;119,4000000;1,21946170;1,74519380;249,961;240,447;0,41667;7;95,957;-2,153217282
2014-04-01;237,231;120,2000000;1,52654580;1,83009010;249,714;242,646;0,49257;4;96,579;-1,60986122
2014-07-01;237,477;121,1000000;2,11503950;1,91311830;241,610;244,480;0,53072;4;97,406;0,283398977
2014-10-01;236,252;121,8000000;2,18609960;1,85213750;218,536;246,237;0,5592;4;97,075;-0,818481205
2015-01-01;235,976;122,6000000;0,79843856;1,70348730;205,757;246,072;0,61618;4;97,637;-2,429542975
2015-04-01;237,657;122,8000000;1,77505460;1,82403560;212,015;246,937;0,6402;4;98,117;-0,030243537
